Word,Rank,Frequency
",",1,11454
.,2,6928
to,3,5183
the,4,4844
and,5,4672
of,6,4279
I,7,3178
a,8,3004
was,9,2385
her,10,2381
;,11,2199
in,12,2118
had,13,1606
with,14,1187
very,15,1151
Emma,16,865
-,17,574
She,18,562
by,19,558
or,20,490
one,21,413
little,22,354
Woodhouse,23,313
Jane,24,301
some,25,248
seemed,26,141
home,27,130
happy,28,122
best,29,85
world,30,81
years,31,57
CHAPTER,32,55
handsome,33,37
comfortable,34,34
twenty,35,30
clever,36,27
lived,37,25
disposition,38,24
distress,39,19
rich,40,14
nearly,41,14
existence,42,8
blessings,43,6
youngest,44,4
unite,45,3
VOLUME,46,3
[,47,2
vex,48,1
],49,1
Austen,50,1
1816,51,1
